"DateTime","SBILIFE","SBILIFE - PE"
"2019-10-07 04:00:00",827.9,61.74
"2019-10-09 04:00:00",837.25,62.44
"2019-10-10 04:00:00",827.2,61.69
"2019-10-11 04:00:00",839.6,62.61
"2019-10-14 04:00:00",828.7,61.8
"2019-10-15 04:00:00",838.05,62.5
"2019-10-16 04:00:00",877.35,71.88
"2019-10-17 04:00:00",902.9,73.97
"2019-10-18 04:00:00",925.95,75.86
"2019-10-22 04:00:00",989.15,81.04
"2019-10-23 04:00:00",985.95,80.78
"2019-10-24 04:00:00",969.65,79.44
"2019-10-25 04:00:00",982.15,80.47
"2019-10-29 04:00:00",1014.35,83.1
"2019-10-30 04:00:00",999.8,81.91
"2019-10-31 04:00:00",991.5,81.23
"2019-11-01 04:00:00",997.5,81.72
"2019-11-04 04:00:00",998.7,81.82
"2019-11-05 04:00:00",969.8,79.45
"2019-11-06 04:00:00",968.95,79.39
"2019-11-07 04:00:00",986.45,80.82
"2019-11-08 04:00:00",982.2,80.47
"2019-11-11 04:00:00",969.95,79.47
"2019-11-13 04:00:00",988.15,80.96
"2019-11-14 04:00:00",999.9,81.92
"2019-11-15 04:00:00",1002.85,82.16
"2019-11-18 04:00:00",1000.05,81.93
"2019-11-19 04:00:00",936.55,76.73
"2019-11-20 04:00:00",939.7,76.99
"2019-11-21 04:00:00",929.6,76.16
"2019-11-22 04:00:00",942.65,77.23
"2019-11-25 04:00:00",951.6,77.96
"2019-11-26 04:00:00",958.95,78.57
"2019-11-27 04:00:00",948.2,77.69
"2019-11-28 04:00:00",971.15,79.57
"2019-11-29 04:00:00",960.05,78.66
"2019-12-02 04:00:00",943.85,77.33
"2019-12-03 04:00:00",963.4,78.93
"2019-12-04 04:00:00",972.25,79.66
"2019-12-05 04:00:00",966.4,79.18
"2019-12-06 04:00:00",964.2,79
"2019-12-09 04:00:00",942,77.18
"2019-12-10 04:00:00",949.85,77.82
"2019-12-11 04:00:00",966.55,79.19
"2019-12-12 04:00:00",960.4,78.68
"2019-12-13 04:00:00",974.9,79.87
"2019-12-16 04:00:00",969.55,79.43
"2019-12-17 04:00:00",972.55,79.68
"2019-12-18 04:00:00",964.75,79.04
"2019-12-19 04:00:00",969.75,79.45
"2019-12-20 04:00:00",992.75,81.34
"2019-12-23 04:00:00",996.8,81.67
"2019-12-24 04:00:00",994.75,81.5
"2019-12-26 04:00:00",991,81.19
"2019-12-27 04:00:00",988.65,81
"2019-12-30 04:00:00",976.35,79.99
"2019-12-31 04:00:00",961.6,78.78
"2020-01-01 04:00:00",976.4,80
"2020-01-02 04:00:00",969.35,79.42
"2020-01-03 04:00:00",975.1,79.89
"2020-01-06 04:00:00",983.1,80.54
"2020-01-07 04:00:00",984.9,80.69
"2020-01-08 04:00:00",987.75,80.93
"2020-01-09 04:00:00",988.5,80.99
"2020-01-10 04:00:00",989,81.03
"2020-01-13 04:00:00",989.85,81.1
"2020-01-14 04:00:00",987.8,80.93
"2020-01-15 04:00:00",998.15,81.78
"2020-01-16 04:00:00",999.9,81.92
"2020-01-17 04:00:00",996.35,81.63
"2020-01-20 04:00:00",981.5,80.41
"2020-01-21 04:00:00",972.75,79.7
"2020-01-22 04:00:00",981.7,72.95
"2020-01-23 04:00:00",985.95,73.26
"2020-01-24 04:00:00",999.8,74.29
"2020-01-27 04:00:00",992.15,73.73
"2020-01-28 04:00:00",987.85,73.41
"2020-01-29 04:00:00",1007.8,74.89
"2020-01-30 04:00:00",998.25,74.18
"2020-01-31 04:00:00",994.1,73.87
"2020-02-01 04:00:00",893.1,66.37
"2020-02-03 04:00:00",912.65,67.82
"2020-02-04 04:00:00",911.6,67.74
"2020-02-05 04:00:00",910.55,67.66
"2020-02-06 04:00:00",919.5,68.33
"2020-02-07 04:00:00",947.3,70.39
"2020-02-10 04:00:00",952.8,70.8
"2020-02-11 04:00:00",939.75,69.83
"2020-02-12 04:00:00",932.85,69.32
