"DateTime","JIOFIN","JIOFIN - PB"
"2025-05-09 04:00:00",248.35,1.28
"2025-05-12 04:00:00",262.9,1.35
"2025-05-13 04:00:00",267.4,1.38
"2025-05-14 04:00:00",267.5,1.38
"2025-05-15 04:00:00",273.7,1.41
"2025-05-16 04:00:00",277,1.43
"2025-05-19 04:00:00",277.05,1.43
"2025-05-20 04:00:00",271.45,1.4
"2025-05-21 04:00:00",274.35,1.41
"2025-05-22 04:00:00",274.55,1.41
"2025-05-23 04:00:00",281.75,1.45
"2025-05-26 04:00:00",281.75,1.45
"2025-05-27 04:00:00",291.4,1.5
"2025-05-28 04:00:00",290.35,1.49
"2025-05-29 04:00:00",287.85,1.48
"2025-05-30 04:00:00",286.65,1.47
"2025-06-02 04:00:00",286.45,1.47
"2025-06-03 04:00:00",283.9,1.46
"2025-06-04 04:00:00",290.35,1.49
"2025-06-05 04:00:00",291.5,1.5
"2025-06-06 04:00:00",294,1.51
"2025-06-09 04:00:00",304.25,1.57
"2025-06-10 04:00:00",302.8,1.56
"2025-06-11 04:00:00",302.65,1.56
"2025-06-12 04:00:00",296,1.52
"2025-06-13 04:00:00",294.05,1.51
"2025-06-16 04:00:00",294.15,1.51
"2025-06-17 04:00:00",289.8,1.49
"2025-06-18 04:00:00",288.15,1.48
"2025-06-19 04:00:00",284.1,1.46
"2025-06-20 04:00:00",294.25,1.51
"2025-06-23 04:00:00",293.15,1.51
"2025-06-24 04:00:00",300.8,1.55
"2025-06-25 04:00:00",303.3,1.56
"2025-06-26 04:00:00",312.5,1.61
"2025-06-27 04:00:00",323.45,1.66
"2025-06-30 04:00:00",326.75,1.68
"2025-07-01 04:00:00",329.6,1.7
"2025-07-02 04:00:00",326.7,1.68
"2025-07-03 04:00:00",325.05,1.67
"2025-07-04 04:00:00",324.95,1.67
"2025-07-07 04:00:00",328.05,1.69
"2025-07-08 04:00:00",328.85,1.69
"2025-07-09 04:00:00",329.85,1.7
"2025-07-10 04:00:00",331.65,1.71
"2025-07-11 04:00:00",325.8,1.68
"2025-07-14 04:00:00",319.1,1.64
"2025-07-15 04:00:00",321.2,1.65
"2025-07-16 04:00:00",319.55,1.64
"2025-07-17 04:00:00",318.15,1.64
"2025-07-18 04:00:00",316.85,1.63
"2025-07-21 04:00:00",317.25,1.63
"2025-07-22 04:00:00",310.8,1.6
"2025-07-23 04:00:00",314.45,1.62
"2025-07-24 04:00:00",316.45,1.63
"2025-07-25 04:00:00",311.25,1.6
"2025-07-28 04:00:00",307.35,1.58
"2025-07-29 04:00:00",321.1,1.65
"2025-07-30 04:00:00",320.3,1.65
"2025-07-31 04:00:00",329.25,1.69
"2025-08-01 04:00:00",329.5,1.7
"2025-08-04 04:00:00",333.9,1.72
"2025-08-05 04:00:00",332.85,1.71
"2025-08-06 04:00:00",326.55,1.68
"2025-08-07 04:00:00",325.5,1.67
"2025-08-08 04:00:00",321.15,1.65
"2025-08-11 04:00:00",327.75,1.69
"2025-08-12 04:00:00",327,1.68
"2025-08-13 04:00:00",330.6,1.7
"2025-08-14 04:00:00",327.4,1.68
"2025-08-18 04:00:00",329.35,1.69
"2025-08-19 04:00:00",331.3,1.7
"2025-08-20 04:00:00",328.45,1.69
"2025-08-21 04:00:00",323.85,1.67
"2025-08-22 04:00:00",320.6,1.65
"2025-08-25 04:00:00",319.7,1.64
"2025-08-26 04:00:00",315.75,1.62
"2025-08-28 04:00:00",310.1,1.6
"2025-08-29 04:00:00",311.7,1.6
"2025-09-01 04:00:00",314.05,1.62
"2025-09-02 04:00:00",311.75,1.6
"2025-09-03 04:00:00",313.7,1.61
"2025-09-04 04:00:00",309.45,1.59
"2025-09-05 04:00:00",309.4,1.59
